,label,study_and_condition
2149,__label__0,contigu stag ii grad on follicul lymphom diagnos pregn breast fee contiguous stage ii grade one follicular lymphoma diagnosis pregnancy breast feed
2150,__label__1,recur breast cant diagnos subnorm intellect pot diagnos ment retard recurrent breast cancer diagnosis subnormal intellectual potential diagnosis mental retardation
2151,__label__0,stag ii ren cel cant diagnos scan must obtain within four week random chang scan felt post surg must docu stage iii renal cell cancer diagnosis scan must obtain within four weeks randomization change scan felt post surgical must document
2152,__label__0,lung cant diagnos surgery lung cancer diagnosis surgery
2153,__label__1,metast pancr cant diagnos wom child bear pot pregn breastfee pot dang effect tre fet inf metastatic pancreatic cancer diagnosis women child bear potential pregnant breastfeed potentially dangerous effect treatment fetus infant
2154,__label__1,stag ii adult lymphoblast lymphom diagnos breakpoint clust reg abelson posit bcr_abl posit paty exclud study stage iii adult lymphoblastic lymphoma diagnosis breakpoint cluster region abelson positive bcr_abl positive patients exclude study
2155,__label__1,solid tum diagnos pres sery cardiac congest heart fail angin pect myocard infarct within on year pri study entry uncontrol hypertend arrhythm neurolog psychy disord solid tumors diagnosis presence serious cardiac congestive heart failure angina pectoris myocardial infarction within one year prior study entry uncontrolled hypertension arrhythmia neurological psychiatric disorder
2156,__label__1,cant cervix diagnos prevy tre pregn cancer cervix diagnosis previous treatment pregnancy
2157,__label__1,brain cant diagnos paty must pregn breast fee must agr pract adequ contraceiv acceiv form bir control includ condom spermicid diaphragm spermicid non barry contraceiv tub lig vasectom or contraceiv impl levonorgestrel vagin hormon contraceiv ring brain cancer diagnosis patients must pregnant breast feed must agree practice adequate contraception acceptable form birth control include condom spermicide diaphragm spermicide non barrier contraception tubal ligation vasectomy oral contraceptives implant levonorgestrel vaginal hormonal contraceptive ring
2158,__label__1,lymphom cel diagnos diagnos class undefin lymphoma cell diagnosis diagnosis classification undefined
2159,__label__1,pancr cel carcinom diagnos myocard infarct pancreatic cell carcinoma diagnosis myocardial infarction
2160,__label__1,aid rel non hodgkin lymphom diagnos paty may receiv investig ag concur biolog chemotherapy rady therapy aid relate non hodgkin lymphoma diagnosis patients may receive investigational agents concurrent biological chemotherapy radiation therapy
2161,__label__0,metast pancr cant diagnos paty must meas diseas metastatic pancreatic cancer diagnosis patient must measurable disease
2162,__label__0,stag iiib breast cant diagnos absolv neutrophil count ant greater_than equal_than on zero ul stage iiib breast cancer diagnosis absolute neutrophil count anc greater_than equal_than one zero ul
2163,__label__1,prost cant diagnos paty pacemak cerebr aneurysm clip shrapnel injury impl electron dev prostate cancer diagnosis patients pacemakers cerebral aneurysm clip shrapnel injury implantable electronic devices
2164,__label__1,situ cerv carcinom bas cel skin carcinom acceiv situ cervical carcinoma basal cell skin carcinoma accept
2165,__label__0,sarcom diagnos hep sarcoma diagnosis hepatic
2166,__label__0,adrenocort carcinom diagnos creatinin less_than doc mg dl adrenocortical carcinoma diagnosis creatinine less_than doc mg dl
2167,__label__0,malign ov clear cel tum diagnos paty must aw nat diseas process must wil cons tre inform altern pot benefit sid effect risk elig test consid standard car may don pri inform cons immunotherapy rel proc test may occ without inform cons malignant ovarian clear cell tumor diagnosis patient must aware nature disease process must willingly consent treatment inform alternatives potential benefit side effect risk eligibility test consider standard care may do prior inform consent immunotherapy relate procedures test may occur without inform consent
2168,__label__0,stag margin zon lymphom diagnos seventeenp_deletion cytogenet abnorm paty receiv induc chemotherapy could transpl onest cr stage marginal zone lymphoma diagnosis seventeenp_deletion cytogenetic abnormality patients receive induction chemotherapy could transplant onest cr
2169,__label__0,stag ii child larg cel lymphom diagnos clin spin cord compress stage iii childhood large cell lymphoma diagnosis clinical spinal cord compression
2170,__label__1,stag iv mantl cel lymphom diagnos chronic cur infecty diseas requir system antibiot antifung antivir tre limit chronic ren infect chronic chest infect bronchiectas tuberculos act hepatit c stage iv mantle cell lymphoma diagnosis chronic current infectious disease require systemic antibiotics antifungal antiviral treatment limit chronic renal infection chronic chest infection bronchiectasis tuberculosis active hepatitis c
2171,__label__0,lymphom diagnos platelet count less twenty zero mm three lymphoma diagnosis platelet count less twenty zero mm three
2172,__label__1,breast neoplasm diagnos prevy resect brain metastas unless ct mri scan brain show metastas within on mon receiv dpx nin hundr sev breast neoplasms diagnosis previously resect brain metastases unless ct mri scan brain show metastasis within one month receive dpx nine hundred seven
2173,__label__0,adenocarcinom colon diagnos platelet count greater_than equal_than on hundr zero mcl adenocarcinoma colon diagnosis platelet count greater_than equal_than one hundred zero mcl
2174,__label__1,malign gliom diagnos mean qt interv correct heart rat qtc greater_than equal_than four hundr seventy ms calc electrocardiograms_ecg us bazet correct first ecg abnorm mean calc three consecut ecg tak two fiv minut apart pleas contact pi clar malignant glioma diagnosis mean qt interval correct heart rate qtc greater_than equal_than four hundred seventy ms calculate electrocardiograms_ecgs use bazett correction first ecg abnormal mean calculate three consecutive ecgs take two five minutes apart please contact pi clarification
2175,__label__1,adult nas typ extranod nk cel lymphom diagnos don adult nasal type extranodal nk cell lymphoma diagnosis donors
2176,__label__0,smold multipl myelom diagnos abnorm ser flc ratio doc neg doc fiv smolder multiple myeloma diagnosis abnormal serum flc ratio doc negative doc five
2177,__label__0,ov cant diagnos pret ser hcg fiv zero five0 zero iu l ovarian cancer diagnosis pretreatment serum hcg five zero five0 zero iu l
2178,__label__1,metast breast cant diagnos receiv org allograft corn bon skin metastatic breast cancer diagnosis receive organ allograft corneal bone skin
2179,__label__1,carcinom breast stag iv diagnos pri chemotherapy target smal molec therapy rady therapy within two week pri study day on recov less_than grad on baselin advers ev due prevy admin ag carcinoma breast stage iv diagnosis prior chemotherapy target small molecule therapy radiation therapy within two weeks prior study day one recover less_than grade one baseline adverse events due previously administer agent
2180,__label__0,stag ii adult diffus smal cleav cel lymphom diagnos paty leg repres must abl read understand provid inform cons particip tri stage iii adult diffuse small cleave cell lymphoma diagnosis patients legal representatives must able read understand provide inform consent participate trial
2181,__label__0,recur adult diffus mix cel lymphom diagnos concur radiotherapy recurrent adult diffuse mix cell lymphoma diagnosis concurrent radiotherapy
2182,__label__1,noncontigu stag ii grad on follicul lymphom diagnos paty act hepatit vir hbv infect hepatit hepatit posit serolog noncontiguous stage ii grade one follicular lymphoma diagnosis patients active hepatitis virus hbv infection hepatitis hepatitis positive serology
2183,__label__0,noncontigu stag ii smal lymphocys lymphom diagnos pri decompens congest heart fail unst angin myocard infarct within past six month correct percutaneous_transluminal coron angioplasty surgery noncontiguous stage ii small lymphocytic lymphoma diagnosis prior decompensated congestive heart failure unstable angina myocardial infarction within past six months correct percutaneous_transluminal coronary angioplasty surgery
2184,__label__0,stag prost cant diagnos ser creatinin less_than doc uln stage prostate cancer diagnosis serum creatinine less_than doc uln
2185,__label__0,stag ii adult soft tissu sarcom diagnos tot bilirubin equal_than less_than doc tim up limit norm stage iii adult soft tissue sarcoma diagnosis total bilirubin equal_than less_than doc time upper limit normal
2186,__label__0,head neck cant diagnos clin stag ii ivb ttwo tfo nzero nthree mzero diseas head neck cancer diagnosis clinical stage iii ivb ttwo tfour nzero nthree mzero disease
2187,__label__1,recur colon cant diagnos unwil particip in comply protocol dur study recurrent colon cancer diagnosis unwillingness participate inability comply protocol duration study
2188,__label__1,recur breast cant diagnos paty evid dist metastas recurrent breast cancer diagnosis patient evidence distant metastases
2189,__label__1,solid tum diagnos particip hist suggest li_fraumen syndrom solid tumors diagnosis participant history suggestive li_fraumeni syndrome
2190,__label__1,fallop tub endometrioid adenocarcinom diagnos paty surgery weight loss fallopian tube endometrioid adenocarcinoma diagnosis patients surgery weight loss
2191,__label__0,multipl myelom plasm cel neoplasm diagnos first complet remit without appropry allog don multiple myeloma plasma cell neoplasm diagnosis first complete remission without appropriate allogeneic donor
2192,__label__0,recur smal lymphocys lymphom diagnos grad on threea recurrent small lymphocytic lymphoma diagnosis grade one threea
2193,__label__0,child choroid_plexus tum diagnos known cur therapy therapy prov prolong surv acceiv qual lif childhood choroid_plexus tumor diagnosis know curative therapy therapy prove prolong survival acceptable quality life
2194,__label__1,stag iiib fallop tub cant diagnos maj surg proc op biopsy sign traum injury within twentyeight day pri first dat bevacizumab therapy cyc two stage iiib fallopian tube cancer diagnosis major surgical procedure open biopsy significant traumatic injury within twentyeight days prior first date bevacizumab therapy cycle two
2195,__label__1,cerv adenosquam carcinom diagnos myocard infarct unst angin equal_than less_than six month pri reg cervical adenosquamous carcinoma diagnosis myocardial infarction unstable angina equal_than less_than six months prior registration
2196,__label__1,breast cant diagnos paty on mon elig breast cancer diagnosis patients one month eligible
2197,__label__0,lymphom diagnos fem restrict apply least four week study tre period therapy on mon last dos study drug lymphoma diagnosis females restrictions apply least four weeks study treatment period therapy one month last dose study drug
2198,__label__0,cant diagnos cap comply study proc cancer diagnosis capable comply study procedures
2199,__label__1,metast ren cel carcinom diagnos paty includ anoth clin tri exceiv support car tri metastatic renal cell carcinoma diagnosis patient include another clinical trial except supportive care trials
2200,__label__1,extr adr paragangliom diagnos pri chemotherapy rady therapy surgery within four week pri study entry exceiv pal radiotherapy non target les within two week pri study entry extra adrenal paraganglioma diagnosis prior chemotherapy radiation therapy surgery within four weeks prior study entry except palliative radiotherapy non target lesions within two weeks prior study entry
2201,__label__1,recur grad on follicul lymphom diagnos prevy system chemotherapy immunotherapy within three week study entry recurrent grade one follicular lymphoma diagnosis previous systemic chemotherapy immunotherapy within three weeks study entry
2202,__label__0,gast cant diagnos paty must norm org marrow funct defin gastric cancer diagnosis patients must normal organ marrow function define
2203,__label__1,pontin gliom diagnos ag gre fifteen year pontine glioma diagnosis age greater fifteen years
2204,__label__0,recur child brain stem gliom diagnos paty pri rady must last fract recurrent childhood brain stem glioma diagnosis patients prior radiation must last fraction
2205,__label__0,hepatospl gamm delt cel lymphom diagnos isol hyperbilirubinaem due gilbert diseas acceiv hepatosplenic gamma delta cell lymphoma diagnosis isolate hyperbilirubinaemia due gilbert disease acceptable
2206,__label__0,lung cant diagnos ag lung cancer diagnosis age
2207,__label__1,anaplast larg cel lymphom diagnos known hypersensit thalidomid anaplastic large cell lymphoma diagnosis know hypersensitivity thalidomide
2208,__label__1,adenocarcinom stomach diagnos neg pregn test adenocarcinoma stomach diagnosis negative pregnancy test
2209,__label__0,adult prim cholangiocellul carcinom diagnos fertil paty must us adequ contraceiv hormon barry method bir control abstin study tre adult primary cholangiocellular carcinoma diagnosis fertile patients must use adequate contraception hormonal barrier method birth control abstinence study treatment
2210,__label__0,metast cant diagnos serolog metastatic cancer diagnosis serology
2211,__label__1,malign melanom diagnos cytotox chemotherapy rady tre within three week pri in malignant melanoma diagnosis cytotoxic chemotherapy radiation treatment within three weeks prior initiation
2212,__label__1,stag ii adult burkit lymphom diagnos cur sery system il would result increas risk csf mobl harvest periph blood stem cel pbsc stage iii adult burkitt lymphoma diagnosis current serious systemic illness would result increase risk csf mobilization harvest peripheral blood stem cells pbsc
2213,__label__1,hum papillomavir infect diagnos cur us illeg drug alcohol abus human papillomavirus infection diagnosis currently user illegal drug alcohol abuser
2214,__label__0,head neck cant diagnos least four week sint pri biolog therapy chemotherapy head neck cancer diagnosis least four weeks since prior biologic therapy chemotherapy
2215,__label__1,extranod margin zon cel lymphom mucos assocy lymphoid tissu diagnos hist inflam bowel diseas crohn diseas ulc colit celiac diseas chronic gastrointestin condit assocy diarrhe cur acut colit origin extranodal marginal zone cell lymphoma mucosa associate lymphoid tissue diagnosis history inflammatory bowel disease crohn disease ulcerative colitis celiac disease chronic gastrointestinal condition associate diarrhea current acute colitis origin
2216,__label__1,recur smal lymphocys lymphom diagnos act cent nerv system cns leukem involv tim study enrol cerebrospin fluid greater_than fiv whit blood cel wbc mm three malign cel cytospin recurrent small lymphocytic lymphoma diagnosis active central nervous system cns leukemia involvement time study enrollment cerebrospinal fluid greater_than five white blood cells wbc mm three malignant cells cytospin
2217,__label__1,hodgkin lymphom diagnos hist congenit heart diseas report lit assocy neurocognit stat determin princip investig hodgkin lymphoma diagnosis history congenital heart disease report literature associate neurocognitive status determine principal investigators
2218,__label__1,receiv investig ag concur would consid tre prim neoplasm receive investigational agent concurrently would consider treatment primary neoplasm
2219,__label__1,cognit sid effect cant therapy diagnos paty bcr ablon fus elig post induc therapy study may elig enrol success childr oncolog group cog philadelph posit ph posit tri day one5 induc cognitive side effect cancer therapy diagnosis patients bcr ablone fusion eligible post induction therapy study may eligible enroll successor children oncology group cog philadelphia positive ph positive trial day one5 induction
2220,__label__0,lymphom diagnos paty charact lymphoma diagnosis patient characteristics
2221,__label__0,breast cant tripl neg breast cant tnbc diagnos haemoglobin greater_than ten dl breast cancer triple negative breast cancer tnbc diagnosis haemoglobin greater_than ten dl
2222,__label__0,lymphom diagnos ast alt gre two tim uln lymphoma diagnosis ast alt greater two time uln
2223,__label__1,metast breast cant diagnos pregn breast fee metastatic breast cancer diagnosis pregnancy breast feed
2224,__label__1,recur neuroblastom diagnos steroid routin metabol deficy stat allow recurrent neuroblastoma diagnosis steroids routine metabolic deficiency state allow
2225,__label__0,prost cant diagnos paty belong on follow risk categ prostatic cancer diagnosis patients belong one follow risk categories
2226,__label__1,non hodgkin lymphom diagnos known cns diseas non hodgkin lymphoma diagnosis know cns disease
2227,__label__0,tum diagnos sign writ institut review board irb approv inform cons tumor diagnosis sign write institutional review board irb approve inform consent
2228,__label__0,heredit multipl melanom diagnos paty charact hereditary multiple melanoma diagnosis patient characteristics
2229,__label__1,stag iv aid rel lymphom diagnos act infect requir system antibiot therapy antibact antifung antivir ag exclud hiv stage iv aid relate lymphoma diagnosis active infection require systemic antibiotic therapy antibacterial antifungal antiviral agents exclude hiv
2230,__label__0,melanom diagnos paty receiv il two must sign durable_power attorney melanoma diagnosis patient receive il two must sign durable_power attorney
2231,__label__0,adenocarcinom gastroesoph junct diagnos fem paty childbear pot must wil us two method bir control surg steril abstain heterosex act cours study 1two0 day last dos study med adenocarcinoma gastroesophageal junction diagnosis female patients childbearing potential must will use two methods birth control surgically sterile abstain heterosexual activity course study 1two0 days last dose study medication
2232,__label__1,recur smal lymphocys lymphom diagnos don recurrent small lymphocytic lymphoma diagnosis donor
2233,__label__0,multipl myelom plasm cel neoplasm diagnos psychosoc condit would preclud study uncontrol diabet mellit uncontrol thyroid diseas act sery infect hiv neg pregn nurs neg pregn test multiple myeloma plasma cell neoplasm diagnosis psychosocial condition would preclude study uncontrolled diabetes mellitus uncontrolled thyroid disease active serious infections hiv negative pregnant nurse negative pregnancy test
2234,__label__0,periton cav cant diagnos perform stat peritoneal cavity cancer diagnosis performance status
2235,__label__0,melanom diagnos norm tot bilirubin exceiv paty liv metastas tot bilirubin less_than equal_than doc uln permit paty gilbert syndrom must tot bilirubin less doc mg dl melanoma diagnosis normal total bilirubin except patients liver metastases total bilirubin less_than equal_than doc uln permit patients gilbert syndrome must total bilirubin less doc mg dl
2236,__label__1,hepatocellul carcinom hcc diagnos posit ser pregn test hum chor gonadotropin within sev day pri enrol unwil un undergo hormon suppress avoid menstru tre hepatocellular carcinoma hcc diagnosis positive serum pregnancy test human chorionic gonadotropin within seven days prior enrollment unwilling unable undergo hormonal suppression avoid menstruation treatment
2237,__label__1,heredit haemochromatos diagnos norm sf sf greater_than on thousandg l hereditary haemochromatosis diagnosis normal sf sf greater_than one thousandg l
2238,__label__0,malign mesotheliom diagnos platelet count greater_than on hundr zero mm three malignant mesothelioma diagnosis platelet count greater_than one hundred zero mm three
2239,__label__1,endomet clear cel adenocarcinom diagnos hgbaonec greater_than doc fast glucos gre one30mg dl exclud paty entry study paty requir insulin control hyperglycem exclud entry study endometrial clear cell adenocarcinoma diagnosis hgbaonec greater_than doc fast glucose greater one30mg dl exclude patients entry study patients require insulin control hyperglycemia exclude entry study
2240,__label__0,recur nasopharyng cant diagnos abl tol ent med cefixime_cefpodoxim loperamid recurrent nasopharyngeal cancer diagnosis able tolerate enteral medications cefixime_cefpodoxime loperamide
2241,__label__1,glioblastom diagnos congest heart fail prevy six month glioblastoma diagnosis congestive heart failure previous six months
2242,__label__1,stag ii breast cant diagnos uncontrol cent nerv system metastas stage iiia breast cancer diagnosis uncontrolled central nervous system metastases
2243,__label__1,squam carcinom esophag diagnos parallel tre anoth clin study pri particip study squamous carcinoma esophagus diagnosis parallel treatment another clinical study prior participation study
2244,__label__1,cant diagnos bazet correct qt qtcb interv greater_than equal_than four hundr eighty millisecond msec screening cancer diagnosis bazett correct qt qtcb interval greater_than equal_than four hundred eighty milliseconds msec screen
2245,__label__1,refract brain neoplasm diagnos smal molec cel cyc inhibit equal_than less_than two week pri reg refractory brain neoplasm diagnosis small molecule cell cycle inhibitors equal_than less_than two weeks prior registration
2246,__label__1,mou neoplasm diagnos pregn confirm ser urin hcg lact period mouth neoplasms diagnosis pregnancy confirm serum urine hcg lactation period
2247,__label__1,recur adult hodgkin lymphom diagnos adult recurrent adult hodgkin lymphoma diagnosis adult
2248,__label__0,lung cant diagnos least three year sint pri chemotherapy exceiv top therapy lung cancer diagnosis least three years since prior chemotherapy except topical therapy
2249,__label__0,recur fallop tub carcinom diagnos potass within norm ref rang lab correct suppl acceiv recurrent fallopian tube carcinoma diagnosis potassium within normal reference range laboratory correction supplement acceptable
2250,__label__0,noncontigu stag ii adult diffus larg cel lymphom diagnos us alemtuzumab immunosuppress permit study noncontiguous stage ii adult diffuse large cell lymphoma diagnosis use alemtuzumab immunosuppression permit study
2251,__label__0,breast cant diagnos platelet count greater_than on hundr zero mm3 breast cancer diagnosis platelet count greater_than one hundred zero mm3
2252,__label__1,hepatospl cel lymphom diagnos paty hepatit vir hcv antibody posit hepatit vir hbv surfac antig posit must fre clin evid cirrhos would otherw mak inelig hct determin princip investig consult gastrointestin serv paty hbv ongo evid vir reply may requir therapy pri receiv high dos chemotherapy hepatosplenic cell lymphoma diagnosis patients hepatitis virus hcv antibody positive hepatitis virus hbv surface antigen positive must free clinical evidence cirrhosis would otherwise make ineligible hct determine principal investigator consultation gastrointestinal service patients hbv ongoing evidence viral replication may require therapy prior receive high dose chemotherapy
2253,__label__1,pancr adenocarcinom metast diagnos replac low molecul weight heparin tre requir pancreatic adenocarcinoma metastatic diagnosis replacement low molecular weight heparin treatment require
2254,__label__0,ov transit cel carcinom diagnos recovery effect rec surgery radiotherapy chemotherapy ovarian transitional cell carcinoma diagnosis recovery effect recent surgery radiotherapy chemotherapy
2255,__label__0,pancr gastrinom diagnos les acc meas least on dimend longest diamet record greater_than equal_than two cm conv techn greater_than equal_than on cm spir comput tomograph ct scan pancreatic gastrinoma diagnosis lesions accurately measure least one dimension longest diameter record greater_than equal_than two cm conventional techniques greater_than equal_than one cm spiral compute tomography ct scan
2256,__label__0,breast cant diagnos cas hormon therapy must stop random start ind follow chemotherapy breast cancer diagnosis case hormonal therapy must stop randomization start indicate follow chemotherapy
2257,__label__0,rhabdoid tum diagnos doc mg dl fem ser creatinin rhabdoid tumor diagnosis doc mg dl female serum creatinine
2258,__label__0,recur grad three follicul lymphom diagnos acut lymphoblast leukem nin twentytwo elevenqtwothr abnorm ear relaps less_than fiv marrow blast crtwo gre recurrent grade three follicular lymphoma diagnosis acute lymphoblastic leukemia nine twentytwo elevenqtwothree abnormality early relapse less_than five marrow blast crtwo greater
2259,__label__0,breast cant diagnos postmenopaus defin breast cancer diagnosis postmenopausal define
2260,__label__0,brain cent nerv system tum diagnos ischem heart diseas within past twelv month brain central nervous system tumors diagnosis ischemic heart disease within past twelve months
2261,__label__1,stag iv pancr cant diagnos maj surgery extend radiotherapy greater_than fifteen day tre chemotherapy delay tox biolog therapy immunotherapy within twentyon day pri first dos study tre dai week chemotherapy without pot delay tox within fourteen day pri first dos study tre stage iv pancreatic cancer diagnosis major surgery extensive radiotherapy greater_than fifteen days treatment chemotherapy delay toxicity biologic therapy immunotherapy within twentyone days prior first dose study treatment daily weekly chemotherapy without potential delay toxicity within fourteen days prior first dose study treatment
2262,__label__0,recur adult diffus mix cel lymphom diagnos refract anem excess blast two ten two0 blast recurrent adult diffuse mix cell lymphoma diagnosis refractory anemia excess blast two ten two0 blast
2263,__label__0,adult giant cel glioblastom diagnos pri tre fract rady therapy sixtygy elig crit howev second cours fract radiotherapy supr are adult giant cell glioblastoma diagnosis prior treatment fractionate radiation therapy sixtygy eligibility criterion however second course fractionate radiotherapy supratentorial area
2264,__label__1,stag iv rect cant diagnos paty rec hist deep vein thrombosis dvt pulmon embol pe requir therapy within three month stage iva rectal cancer diagnosis patients recent history deep vein thrombosis dvt pulmonary embolism pe require therapy within three months
2265,__label__1,heredit ov carcinom diagnos prevy particip gcra hereditary ovarian carcinoma diagnosis previous participation gcra
2266,__label__0,multipl myelom plasm cel neoplasm diagnos receiv pri alkyl ag neg thalidomid neg corticostero neg bortezomib contain regim relaps on year tre inelig receiv therapy due comorbid allergy multiple myeloma plasma cell neoplasm diagnosis receive prior alkylating agen negative thalidomid negative corticosteroi negative bortezomib contain regimens relapse one year treatment ineligible receive therapies due comorbidities allergies
2267,__label__0,lymphom diagnos chemotherapy lymphoma diagnosis chemotherapy
2268,__label__1,breast cant diagnos platelet count less seventyf zero breast cancer diagnosis platelet count less seventyfive zero
2269,__label__1,stag iv follicul thyroid cant diagnos clin sign gastrointestin blee uncontrol pept ulc diseas stage iv follicular thyroid cancer diagnosis clinically significant gastrointestinal bleed uncontrolled peptic ulcer disease
2270,__label__0,epithelioid sarcom diagnos karnofsky perform stat scor greater_than equal_than seventy paty greater_than sixteen year ag epithelioid sarcoma diagnosis karnofsky performance status score greater_than equal_than seventy patients greater_than sixteen years age
2271,__label__1,neuroendocrin tum diagnos pregn breast fee neuroendocrine tumor diagnosis pregnancy breast feed
2272,__label__0,gast cant diagnos sev funct dam maj org uncontrol sev cardiopulmon concur system diseas gastric cancer diagnosis severe functional damage major organ uncontrolled severe cardiopulmonary concurrent system disease
2273,__label__1,splenic margin zon lymphom diagnos requir immedy pal tre kind includ surgery splenic marginal zone lymphoma diagnosis requirement immediate palliative treatment kind include surgery
2274,__label__1,lymphom non hodgkin diagnos paty hist malign past three year lymphoma non hodgkin diagnosis patients history malignancies past three years
2275,__label__1,loc recur metast breast cant diagnos pregn ie posit bet hum chor gonadotropin test breast fee locally recurrent metastatic breast cancer diagnosis pregnant ie positive beta human chorionic gonadotropin test breast feed
2276,__label__1,cant diagnos ser albumin level less_than three dl cancer diagnosis serum albumin level less_than three dl
2277,__label__1,indol non hodgkin lymphom diagnos paty serolog evid pri expos elig indolent non hodgkin lymphoma diagnosis patients serologic evidence prior exposure eligible
2278,__label__0,cant surv cancer survivors
2279,__label__1,non smal cel lung cant diagnos pri expos hdac inhibit within prevy thirty day non small cell lung cancer diagnosis prior exposure hdac inhibitors within previous thirty days
2280,__label__1,ileo an pouch without adenoma ileo anal pouch without adenomas
2281,__label__1,prost neoplasm diagnos paty tak drug herb suppl affect androg metabol spironolacton aprepit bexarot clarithromycin itraconazol ketoconazol st prostate neoplasms diagnosis patients take drug herbal supplement affect androgen metabolism spironolactone aprepitant bexarotene clarithromycin itraconazole ketoconazole st
2282,__label__0,stag iv skin melanom diagnos fertil paty must us effect contraceiv stage iv skin melanoma diagnosis fertile patients must use effective contraception
2283,__label__1,lymphom cel cut diagnos ecg record screening show evid cardiac ischem st depress greater_than two mm meas isoelect lin st seg lymphoma cell cutaneous diagnosis ecg record screen show evidence cardiac ischemia st depression greater_than two mm measure isoelectric line st segment
2284,__label__0,solid tum diagnos paty greater_than eighteen year ag must sign writ inform cons solid tumors diagnosis patients greater_than eighteen years age must sign write inform consent
2285,__label__1,undifferenty ov carcinom diagnos paty hist evid upon phys examin maj cent nerv system cns diseas exampl undifferentiated ovarian carcinoma diagnosis patients history evidence upon physical examination major central nervous system cns disease example
2286,__label__1,non smal cel lung carcinom diagnos paty cur tak drug gen acceiv risk caus torsad de point includ non small cell lung carcinoma diagnosis patients currently take drug generally accept risk cause torsades de point include
2287,__label__1,smal intestin lymphom diagnos paty fung infect radiolog progress receipt amphotericin act triazol gre on mon small intestine lymphoma diagnosis patient fungal infection radiological progression receipt amphotericin active triazole greater one month
2288,__label__1,breast cant diagnos known hypersensit zomet zoledron acid bisphosphon breast cancer diagnosis know hypersensitivity zometa zoledronic acid bisphosphonates
2289,__label__1,stag iv breast cant diagnos hum immunodeficy vir hiv posit paty receiv combin ant retrovir therapy exclud study stage iv breast cancer diagnosis human immunodeficiency virus hiv positive patients receive combination anti retroviral therapy exclude study
2290,__label__1,recur adult immunoblast larg cel lymphom diagnos pregn breast fee fem lact fem must agr breast fee tak lenalidomid recurrent adult immunoblastic large cell lymphoma diagnosis pregnant breast feed females lactate females must agree breast fee take lenalidomide
2291,__label__1,recur adult diffus smal cleav cel lymphom diagnos modafinil_provigil recurrent adult diffuse small cleave cell lymphoma diagnosis modafinil_provigil
2292,__label__1,non smal cel lung cant diagnos wom child bear ag un unwil tak effect contraceiv meas non small cell lung cancer diagnosis women child bear age unable unwilling take effective contraceptive measure
2293,__label__0,contigu stag ii adult diffus larg cel lymphom diagnos cdfour count must greater_than equal_than on hundr mm three contiguous stage ii adult diffuse large cell lymphoma diagnosis cdfour count must greater_than equal_than one hundred mm three
2294,__label__1,recur extranod margin zon lymphom mucos assocy lymphoid tissu diagnos paty act hepatit defin hepatit surfac antig posit cor antibody posit pres hepatit deoxyribonuc acid dna elig study paty posit hepatit cor antibody neg hepatit dna may particip must hepatit serolog hepatit dna monit period tre phys recurrent extranodal marginal zone lymphoma mucosa associate lymphoid tissue diagnosis patients active hepatitis define hepatitis surface antigen positivity core antibody positivity presence hepatitis deoxyribonucleic acid dna eligible study patients positive hepatitis core antibody negative hepatitis dna may participate must hepatitis serologies hepatitis dna monitor periodically treat physician
2295,__label__1,stag ii gast cant diagnos neuropathy grad two gre nci ctcae doc stage iiia gastric cancer diagnosis neuropathy grade two greater nci ctcae doc
2296,__label__1,neoplasm malign diagnos mean qtc interv greater_than four hundr seventy msec us qtcf formul clin sign qtc prolong hist torsad de point malign arrhythmia conduc disturb neoplasm malignant diagnosis mean qtc interval greater_than four hundred seventy msec use qtcf formula clinically significant qtc prolongation history torsade de point malignant arrhythmias conduction disturbances
2297,__label__0,stag iv non smal cel lung cant diagnos eastern coop oncolog group ecog perform stat zero on stage iv non small cell lung cancer diagnosis eastern cooperative oncology group ecog performance status zero one
2298,__label__0,stag iv adult hodgkin lymphom diagnos diseas complet abs relaps occur pri prep regim requir follow stage iv adult hodgkin lymphoma diagnosis disease completely absent relapse occur prior preparative regimen require follow
2299,__label__0,breast cant diagnos pri exemest metformin rosiglitazon allow tak long sev day pri enrol breast cancer diagnosis prior exemestane metformin rosiglitazone allow take longer seven days prior enrollment
2300,__label__1,cerv cant diagnos paty proteinur cervical cancer diagnosis patients proteinuria
2301,__label__1,child mix gliom diagnos paty clin sign unrel system il sery infect sign cardiac pulmon hep org dysfunct would comprom paty abl tol protocol therapy would lik interf study proc result childhood mix glioma diagnosis patients clinically significant unrelated systemic illness serious infections significant cardiac pulmonary hepatic organ dysfunction would compromise patient ability tolerate protocol therapy would likely interfere study procedures result
2302,__label__0,non smal cel lung cant diagnos ag eighteen seventyf ecog less_than two los weight less_than ten six month non small cell lung cancer diagnosis age eighteen seventyfive ecog less_than two lose weight less_than ten six months
2303,__label__1,stag iv melanom diagnos trimethoprim_sulfamethoxazole bactrim stage iv melanoma diagnosis trimethoprim_sulfamethoxazole bactrim
2304,__label__0,recur melanom diagnos known esoph var recurrent melanoma diagnosis know esophageal varices
2305,__label__1,recur solid neoplasm diagnos paty receiv pri solid org transpl elig recurrent solid neoplasm diagnosis patients receive prior solid organ transplantation eligible
2306,__label__0,solid tum diagnos ant greater_than on thousand mmthree platelet greater_than seventyf zero mmthree hemoglobin greater_than nin l solid tumors diagnosis anc greater_than one thousand mmthree platelets greater_than seventyfive zero mmthree hemoglobin greater_than ninety l
